Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50220199,Computer Networking: This Book Includes: Computer Networking for Beginners and Beginners Guide (All in One),Russell Scott,"Scott, Russell",,"=""""","=""""",1,3.90,,Kindle Edition,254,2019,,2021/05/01,2021/10/07,,,read,,,,1,0
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""0066238501""","=""9780066238500""",2,4.27,HarperCollins,Paperback,767,2014,1956,2021/08/01,2021/10/07,,,read,,,,1,0
1319,The War of Art: Winning the Inner Creative Battle,Steven Pressfield,"Pressfield, Steven",Robert McKee,"=""0446691437""","=""9780446691437""",4,3.99,Warner Books,Paperback,168,2003,2002,2021/08/01,2021/10/07,,,read,,,,1,0
6683549,You Are Not a Gadget,Jaron Lanier,"Lanier, Jaron",,"=""0307269647""","=""9780307269645""",1,3.56,Alfred A. Knopf,Hardcover,221,2010,2010,2021/08/01,2021/10/07,,,read,,,,1,0
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",3,4.21,Gallery Books,Paperback,288,1998,1936,2021/09/01,2021/10/07,,,read,,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",4,4.19,Grand Central Publishing,Hardcover,296,2016,2016,2021/09/01,2021/10/07,,,read,,,,2,0
46674,Feeling Good: The New Mood Therapy,David D. Burns,"Burns, David D.",,"=""0380810336""","=""9780380810338""",4,4.04,Harper,Mass Market Paperback,736,2008,1980,2021/09/01,2021/10/07,,,read,,,,1,0
27036528,Ego Is the Enemy,Ryan Holiday,"Holiday, Ryan",,"=""1591847818""","=""9781591847816""",4,4.14,Portfolio,Hardcover,226,2016,2016,2021/10/01,2021/10/07,,,read,,,,1,0
42046112,Recursion,Blake Crouch,"Crouch, Blake",,"=""1524759783""","=""9781524759780""",3,4.16,Crown Publishing Group (NY),Hardcover,336,2019,2019,,2021/10/07,,,read,,,,1,0
34507927,"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking – for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"Ahrens, Sönke",,"=""""","=""""",3,4.18,,Kindle Edition,178,2017,2017,2021/03/01,2021/10/07,,,read,,,,1,0
13078769,Running Lean: Iterate from Plan A to a Plan That Works,Ash Maurya,"Maurya, Ash",,"=""1449305172""","=""9781449305178""",3,4.06,O'Reilly Media,Hardcover,240,2012,2012,2021/10/07,2021/10/07,,,read,,,,2,0
313605,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,"Fisher, Roger","William Ury, Bruce Patton","=""0140157352""","=""9780140157352""",3,3.94,Penguin Group,Paperback,224,1991,1981,2021/02/01,2021/10/07,,,read,,,,1,0
18630,"The Player of Games (Culture, #2)",Iain M. Banks,"Banks, Iain M.",,"=""0061053562""","=""9780061053566""",4,4.27,HarperPrism,Paperback,293,1997,1988,2021/01/01,2021/10/07,,,read,,,,1,0
12126193,Quantitative Methoden 2. Einführung in Die Statistik für Psychologen und Sozialwissenschaftler,Björn Rasch,"Rasch, Björn","Malte Friese, Wilhelm Johann Hofmann, Ewald Naumann, Bjarn Rasch","=""3642052673""","=""9783642052675""",3,3.75,Springer,Unknown Binding,230,2009,2006,2021/06/01,2021/10/07,,,read,,,,1,0
12236203,Quantitative Methoden 1.Einführung in Die Statistik für Psychologen und Sozialwissenschaftler (Springer Lehrbuch),Björn Rasch,"Rasch, Björn","Malte Friese, Wilhelm Johann Hofmann, Ewald Naumann","=""3642052711""","=""9783642052712""",3,3.44,Springer,Paperback,249,2009,2006,2021/06/01,2021/10/07,,,read,,,,1,0
11275323,"Raising Steam (Discworld, #40, Moist von Lipwig, #3)",Terry Pratchett,"Pratchett, Terry",,"=""0857522272""","=""9780857522276""",3,3.99,Doubleday,Hardcover,377,2013,2013,2021/08/01,2021/10/07,,,read,,,,1,0
16158576,Expecting Better: Why the Conventional Pregnancy Wisdom is Wrong - and What You Really Need to Know,Emily Oster,"Oster, Emily",,"=""1594204756""","=""9781594204753""",4,4.33,Penguin Press,Hardcover,336,2013,2013,2021/09/09,2021/10/07,,,read,,,,1,0
769483,"Magyk (Septimus Heap, #1)",Angie Sage,"Sage, Angie",Mark Zug,"=""0060577312""","=""9780060577315""",2,3.84,"Katherine Tegen, Harper Collins",Hardcover,564,2005,2005,2021/09/06,2021/10/07,,,read,,,,1,0
53597796,Strongmen: Mussolini to the Present,Ruth Ben-Ghiat,"Ben-Ghiat, Ruth",,"=""1324001542""","=""9781324001546""",2,4.17,W. W. Norton  Company,Hardcover,384,2020,2020,2021/08/28,2021/10/07,,,read,,,,1,0
58245377,Geometry for Ocelots,Exurb1a,"Exurb1a, Exurb1a",,"=""""","=""""",5,4.47,,Kindle Edition,,2021,,2021/08/06,2021/10/07,,,read,,,,1,0
6708,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,"Tolle, Eckhart",,"=""1577314808""","=""9781577314806""",2,4.15,New World Library,Paperback,229,2004,1997,2021/07/22,2021/10/07,,,read,,,,2,0
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",Torstein Bugge Høverstad,"=""0679879242""","=""9780679879244""",4,4.01,Alfred A. Knopf Books for Young Readers,Hardcover,399,1996,1995,2021/07/11,2021/10/07,,,read,,,,1,0
1845,Into the Wild,Jon Krakauer,"Krakauer, Jon",,"=""0385486804""","=""9780385486804""",3,4.00,Anchor Books,Paperback,203,1997,1996,2021/06/22,2021/10/07,,,read,,,,1,0
67896,Tao Te Ching,Lao Tzu,"Tzu, Lao","Jacob Needleman, Brian Browne Walker, Mikhail Nikolenko, Gia-Fu Feng, Claudio Lamparelli, Vladimir Antonov, Toinette Lippe, Jane English, James Legge","=""0679724346""","=""9780679724346""",3,4.29,Vintage,Paperback,160,1989,-400,2021/06/02,2021/10/07,,,read,,,,2,0
6324090,"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,"Carroll, Lewis","T.H. Robinson, Charles Pears","=""""","=""""",4,4.00,Public Domain Books,Kindle Edition,96,1997,1865,2021/05/23,2021/10/07,,,read,,,,1,0
56447036,"The Road Chose Me Volume 2: Three years and 54,000 miles around Africa",Dan Grec,"Grec, Dan",,"=""""","=""""",4,4.62,The Road Chose Me,Kindle Edition,371,2020,,2021/05/14,2021/10/07,,,read,,,,1,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",3,4.15,Free Press,Paperback,372,2004,1988,2021/04/30,2021/10/07,,,read,,,,2,0
1059,Shibumi,Trevanian,"Trevanian, Trevanian",Gisela Stege,"=""1400098033""","=""9781400098033""",4,4.20,Broadway Books,Paperback,480,2005,1979,2021/03/26,2021/10/07,,,read,,,,1,0
912728,Geheime Botschaften. Die Kunst der Verschlüsselung von der Antike bis in die Zeiten des Internet,Simon Singh,"Singh, Simon",,"=""3423330716""","=""9783423330718""",3,4.29,Deutscher Taschenbuch Verlag,Paperback,459,2001,1999,2021/03/06,2021/10/07,,,read,,,,1,0
1476605,Manifest der Kommunistischen Partei,Karl Marx,"Marx, Karl",Friedrich Engels,"=""3150083230""","=""9783150083239""",3,3.62,Philipp Reclam jun. Verlag GmbH,Paperback,96,1986,1848,2021/04/04,2021/10/07,,,read,,,,1,0
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020680""","=""9780061020681""",5,4.23,Harpertorch,Mass Market Paperback,243,2001,1987,,2021/10/07,,,read,,,,1,0
865871,An Attack on an Enemy of Freedom,Marcus Tullius Cicero,"Cicero, Marcus Tullius",Michael    Grant,"=""014102383X""","=""9780141023830""",4,3.71,Penguin UK,Paperback,93,2005,-43,,2021/10/07,,,read,,,,1,0
48838,IBM and the Holocaust,Edwin Black,"Black, Edwin",,"=""0751531995""","=""9780751531992""",3,4.01,Time Warner,Paperback,710,2002,1999,,2021/10/07,,,read,,,,1,0
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",,"=""0765376458""","=""9780765376459""",2,4.07,Tor Books,Hardcover,400,2015,2015,,2021/10/07,,,read,,,,1,0
25506635,The China Dream: Great Power Thinking and Strategic Posture in the Post-American Era,Liu Mingfu,"Mingfu, Liu",,"=""""","=""""",1,3.48,CN Times Books,Kindle Edition,,2015,2010,,2021/10/07,,,read,,,,1,0
5948056,Nacht Und Nebel,Ahmet Ümit,"Ümit, Ahmet",,"=""3293100023""","=""9783293100022""",3,3.73,Unionsverlag,Hardcover,365,2005,1996,,2021/10/07,,,read,,,,1,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",4,4.38,Scribner,Hardcover,368,2017,2017,,2021/10/07,,,read,,,,1,0
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Μαρία Κασωτάκη, Denis Daly, W.K. Marriott, Benjamin Martinez, Rufus Goodwin","=""0937832383""","=""9780937832387""",2,3.83,Dante University of America Press,Paperback,140,2003,1513,,2021/10/07,,,read,,,,1,0
129327,The Case of Charles Dexter Ward,H.P. Lovecraft,"Lovecraft, H.P.",,"=""0345354907""","=""9780345354907""",3,4.15,Del Rey Books,Paperback,127,1994,1941,,2021/10/07,,,read,,,,1,0
41887005,Lady Chatterly's Lover,D.H. Lawrence,"Lawrence, D.H.",,"=""1515423417""","=""9781515423416""",3,3.51,Gray Rabbit Publishing,Paperback,302,2018,1928,,2021/10/07,,,read,,,,1,0
1950374,Anleitung zum Unglücklichsein,Paul Watzlawick,"Watzlawick, Paul",,"=""3492221009""","=""9783492221009""",2,3.73,Piper,Paperback,132,1988,1983,,2021/10/07,,,read,,,,1,0
21535271,"The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)",Patrick Rothfuss,"Rothfuss, Patrick",Nate  Taylor,"=""0756410436""","=""9780756410438""",3,3.89,DAW Books,Hardcover,159,2014,2014,,2021/10/07,,,read,,,,1,0
6329013,On the Origin of Species,Charles Darwin,"Darwin, Charles",,"=""0554267381""","=""9780554267388""",4,4.00,BiblioLife,Hardcover,616,2008,1859,,2021/10/07,,,read,,,,1,0
36556202,The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Jonathan Haidt,"Haidt, Jonathan",Greg Lukianoff,"=""""","=""""",2,4.25,Penguin Books,Kindle Edition,352,2018,2018,,2021/10/07,,,read,,,,1,0
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404738""","=""9780756404734""",3,4.55,DAW Books,Hardcover,994,2011,2011,,2021/10/07,,,read,,,,1,0
12016,"Look to Windward (Culture, #7)",Iain M. Banks,"Banks, Iain M.",,"=""0743421922""","=""9780743421928""",4,4.21,Pocket Books/Simon & Schuster (NY),Paperback,483,2002,2000,,2021/10/07,,,read,,,,1,0
40383078,The Tibetan Book of Living and Dying,Sogyal Rinpoche,"Rinpoche, Sogyal",,"=""""","=""""",2,4.21,HarperOne,Kindle Edition,425,2009,1992,,2021/08/20,,,read,,,,1,0
8285950,Sofies verden,Jostein Gaarder,"Gaarder, Jostein",,"=""8714193523""","=""9788714193522""",3,3.95,Høst & Søn,Paperback,542,1995,1991,2019/12/05,2021/08/19,,,read,"<blockquote><br/>In-Genre Rating: 7<br/>Global Rating: 6.5<br/>Reading Fun: 6<br/></blockquote><br/><br/>Well structured, didactically and literarily strong. However, some chapters are quite dry or go off too far to the other end by being too absurd.",,,1,0
46465,"The Chemistry of Death (David Hunter, #1)",Simon Beckett,"Beckett, Simon",,"=""0385340044""","=""9780385340045""",2,4.14,Delacorte Press,Hardcover,320,2006,2006,2019/11/11,2021/08/15,,,read,"Well, if you solve the whodunit not even 10% in, you can't recommend a crime thriller too highly.<br/><br/>Specific scenes were intense to read, but that kind of quality was absent in the larger plot. Cheap cliffhangers and overused cliches, character arcs going nowhere. <br/><br/>Most disappointing was the lack of intricacy the title promised: The chemistry of death, as in investigative forensics, is a very minor part of the book and does barely nudge the plot.<br/><br/>The book is readable and I guess it is what you expect it to be, it is just not particular good at it. I don't get the legend status this seems to have in the genre, but then again I am not a crime thriller savant either. ",,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",3,4.52,Penguin Group DAW,Hardcover,662,2007,2007,2019/10/09,2021/08/08,,,read,"<blockquote><br/>In-Genre Rating: 7<br/>Global Rating: 6<br/>Reading Fun: 6.5<br/></blockquote><br/><br/>While I certainly see why this generated the hype it generated, it still has a lot of the typical shortcomings of YA fantasy. Or maybe that is the point, to be an archetype of that genre. It does that well certainly: There is a lot of unexpected facets and positively crazy ideas. Sadly, there are also quite a few paper thin characters or scenes where people fall out of there character in the name of humor or tension. The worldbuilding cannot handle too much thinking about it, and literary fanciness is a bit intrusive at times.<br/>Apart from a few exceptions, it will however captivate you and thus remain a worthy read of the genre.",,,1,0
64222,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060502932""","=""9780060502935""",4,4.39,HarperTorch,Mass Market Paperback,394,2005,2004,2019/09/09,2021/08/07,,,read,"<blockquote><br/>In-Genre Rating: 8.5<br/>Global Rating: 9<br/>Reading Fun: 7.5<br/></blockquote><br/><br/>Maybe not the strongest disk world novel, but I did read it twice so I am not <i>complaining</i>. Full of low and high brow parody (mostly of the post office) and awesome obsolete technological rabbit holes like optical telegraphs.<br/><br/>Quite characteristically for the Lipwig books, the tension lingers around for a while, although the humor mostly makes up for it. Worth it for Anghammarad's story alone.",,,1,0
